Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
24500	397	525	289	23	2	0	0	778058	153	82	0	0	4	253546	0	802084	7	512912	36	484622	738828
24750	395	384	302	0	27	0	0	810351	119	216	0	0	45	263837	0	954385	24	501356	0	488363	746408
25000	414	443	276	0	5	0	0	824687	180	13	169	0	5	297035	26	816605	6	588373	26	482957	717322
25250	580	492	262	0	52	0	0	828379	119	19	0	0	3	267254	0	1042998	6	613766	0	497463	759252
25500	611	506	313	0	17	0	0	838222	298	37	13	12	44	283417	0	915857	33	572357	0	500964	769223
25750	375	478	315	16	3	0	27	849827	215	18	0	0	3	282505	0	836619	6	504736	0	503678	796373
26000	491	452	306	0	2	0	0	853421	151	12	14	0	3	300227	0	855707	15	731734	0	496915	779643
26250	543	435	293	0	27	0	0	893099	167	12	0	0	3	321846	0	843156	153	610104	0	502029	760340
26500	460	486	295	13	2	0	0	864051	119	36	0	0	1	292039	0	863046	8	576925	0	510673	788081
26750	773	440	386	0	2	0	0	880004	161	138	0	0	1	318763	0	865984	8	579773	483	515248	796593
27000	527	477	250	0	3	0	0	892516	139	41	26	0	1	294958	0	884794	42	578223	24	516331	826395
27250	549	448	290	68	6	13	0	888464	155	26	42	0	2	306393	12	894464	7	581022	0	540536	818154
27500	452	499	306	0	7	0	16	905564	143	54	0	0	26	327787	10	898551	6	584331	12	539514	844089
27750	2918	443	300	0	29	0	26	913833	156	13	0	0	6	304720	0	899369	9	608671	22	539963	807621
28000	532	466	347	1051	5	0	0	924801	132	29	0	0	3	334006	14	917589	6	564348	0	542835	806736
28250	521	410	280	0	4	20	0	982021	147	25	0	0	42	366875	0	911258	8	580843	0	553375	844357
28500	502	433	371	0	3	0	0	1002080	121	74	0	0	5	312818	0	925437	6	566197	0	547749	861400
28750	436	460	262	14	3	0	26	999203	183	24	0	0	3	338358	0	942035	59	594024	0	570876	853018
29000	469	545	250	0	3	9	38	954522	174	35	0	26	47	356404	12	945065	9	588359	17	572578	887459
29250	389	447	382	0	35	0	0	970958	184	38	0	0	70	327852	0	944650	8	586069	28	575428	905455
29500	415	498	272	16	21	0	0	975084	145	44	0	0	5	371741	12	949232	65	609171	0	580391	877076
29750	402	423	348	0	5	0	0	980466	140	34	0	0	5	392607	132	968089	19	605112	1	579916	883791
30000	464	494	274	0	40	0	0	1021000	125	86	0	0	7	393320	0	989549	6	620219	12	599409	1038841
30250	448	485	250	51	6	22	0	1062642	162	304	0	0	4	537621	0	990156	21	606192	53	581357	897934
30500	424	491	250	26	2	0	0	1050503	2732	77	15	0	6	353103	0	983885	7	620935	111	598454	919627
30750	393	473	885	30	40	0	0	1076356	65	21	0	0	5	370773	0	1012275	8	631903	0	610721	903654
31000	446	516	318	0	4	0	0	1048183	89	60	38	0	51	397067	0	1022121	8	632563	0	612647	935842
31250	451	500	250	0	2	15	0	1079411	67	16	0	0	22	385375	0	1020724	8	649409	12	613104	967362
31500	479	451	271	0	44	0	0	1082684	96	16	0	0	62	433072	0	1042417	6	645399	1	620362	944372
31750	549	541	272	1	2	12	0	1089098	116	34	0	0	43	393498	0	1041590	8	648683	25	618826	977180
32000	452	506	303	0	2	0	0	1094628	179	64	2	14	60	394411	13	1055711	8	653735	12	636887	947848
32250	516	491	262	0	39	0	22	1085657	100	105	0	0	20	427122	12	1065423	28	657553	0	637955	984728
32500	370	495	250	0	34	24	0	1136633	159	72	0	0	4	422522	0	1064068	24	670199	0	652303	964795
32750	499	569	250	0	29	0	0	1137376	122	54	0	0	2	445079	13	1091646	5333	674194	0	633204	977350
33000	511	571	285	0	4	0	0	1103720	127	23	12	0	1	434744	0	1117537	9	687105	24	659780	993518
33250	508	525	276	0	27	0	0	1061167	106	46	67	0	19	432811	0	1104211	6	663105	0	661544	981738
33500	433	490	278	0	57	34	0	1222465	144	61	0	0	6	428758	12	1108327	19	703489	0	651223	1155072
